EventID,EmployeeID,EntityID,EmployeeName,PayDate,GrossEarnings,QualifyingEarnings_CodeQ,SuperLiability_CodeL,SuperFundUSI,SuperFundName,RemittanceDate,FundReceiptDate,StatutoryDueDate,ComplianceStatus,SGC_Shortfall,GIC_NominalInterest
STP5001,EMP101,ENT001,A. Vance,2026-01-14,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-01-16,2026-01-20,2026-04-28,ON_TIME,0.00,0.00
STP5002,EMP101,ENT001,A. Vance,2026-01-28,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-01-30,2026-02-03,2026-04-28,ON_TIME,0.00,0.00
STP5003,EMP101,ENT001,A. Vance,2026-02-11,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-02-13,2026-02-17,2026-04-28,ON_TIME,0.00,0.00
STP5004,EMP101,ENT001,A. Vance,2026-02-25,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-02-27,2026-03-03,2026-04-28,ON_TIME,0.00,0.00
STP5005,EMP101,ENT001,A. Vance,2026-03-11,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-03-13,2026-03-17,2026-04-28,ON_TIME,0.00,0.00
STP5006,EMP101,ENT001,A. Vance,2026-03-25,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-03-27,2026-03-31,2026-04-28,ON_TIME,0.00,0.00
STP5007,EMP101,ENT001,A. Vance,2026-04-08,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-04-10,2026-04-14,2026-07-28,ON_TIME,0.00,0.00
STP5008,EMP101,ENT001,A. Vance,2026-04-22,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-04-24,2026-04-28,2026-07-28,ON_TIME,0.00,0.00
STP5009,EMP101,ENT001,A. Vance,2026-05-06,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-05-08,2026-05-12,2026-07-28,ON_TIME,0.00,0.00
STP5010,EMP101,ENT001,A. Vance,2026-05-20,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-05-22,2026-05-26,2026-07-28,ON_TIME,0.00,0.00
STP5011,EMP101,ENT001,A. Vance,2026-06-03,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-06-05,2026-06-10,2026-07-28,ON_TIME,0.00,0.00
STP5012,EMP101,ENT001,A. Vance,2026-06-17,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-06-19,2026-06-23,2026-07-28,ON_TIME,0.00,0.00
STP5013,EMP101,ENT001,A. Vance,2026-07-01,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-07-03,2026-07-07,2026-07-10,ON_TIME,0.00,0.00
STP5014,EMP101,ENT001,A. Vance,2026-07-15,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-07-17,2026-07-21,2026-07-24,ON_TIME,0.00,0.00
STP5015,EMP101,ENT001,A. Vance,2026-07-29,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-07-31,2026-08-04,2026-08-07,ON_TIME,0.00,0.00
STP5016,EMP101,ENT001,A. Vance,2026-08-12,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-08-14,2026-08-18,2026-08-21,ON_TIME,0.00,0.00
STP5017,EMP101,ENT001,A. Vance,2026-08-26,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-08-28,2026-09-01,2026-09-04,ON_TIME,0.00,0.00
STP5018,EMP101,ENT001,A. Vance,2026-09-09,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-09-11,2026-09-23,2026-09-18,LATE_BREACH,1.68,1.05
STP5019,EMP101,ENT001,A. Vance,2026-09-23,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-09-25,2026-09-29,2026-10-02,ON_TIME,0.00,0.00
STP5020,EMP101,ENT001,A. Vance,2026-10-07,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-10-09,2026-10-13,2026-10-16,ON_TIME,0.00,0.00
STP5021,EMP101,ENT001,A. Vance,2026-10-21,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-10-23,2026-10-27,2026-10-30,ON_TIME,0.00,0.00
STP5022,EMP101,ENT001,A. Vance,2026-11-04,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-11-06,2026-11-10,2026-11-13,ON_TIME,0.00,0.00
STP5023,EMP101,ENT001,A. Vance,2026-11-18,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-11-20,2026-11-24,2026-11-27,ON_TIME,0.00,0.00
STP5024,EMP101,ENT001,A. Vance,2026-12-02,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-12-04,2026-12-08,2026-12-11,ON_TIME,0.00,0.00
STP5025,EMP101,ENT001,A. Vance,2026-12-16,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2026-12-18,2026-12-22,2026-12-29,ON_TIME,0.00,0.00
STP5026,EMP101,ENT001,A. Vance,2026-12-30,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-01-01,2027-01-06,2027-01-11,ON_TIME,0.00,0.00
STP5027,EMP101,ENT001,A. Vance,2027-01-13,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-01-15,2027-01-19,2027-01-22,ON_TIME,0.00,0.00
STP5028,EMP101,ENT001,A. Vance,2027-01-27,5576.92,5576.92,669.23,19323234999001,AustralianSuper,2027-01-29,2027-02-02,2027-02-05,ON_TIME,0.00,0.00
